id,title,cast,release_year,duration_int,duration_type,mean_rating
as181,virus,"revathy, kunchako boban, parvathy thiruvoth",2019,149.0,min,3.6236897274633124
as182,virginia,"jennifer connelly, emma roberts, ed harris, carrie preston",2012,111.0,min,3.479633401221996
as183,violets are blue,"sissy spacek, kevin kline, bonnie bedelia",1986,86.0,min,3.517857142857143
as184,vinland saga,"shizuka ishigami, yuto uemura, kenichiro matsuda, naoya uchida, kensho ono",2019,1.0,season,3.4748995983935744
as185,vinci da,"rudranil ghosh, ritwick chakraborty, sohini sarkar, anirban bhattacharya, riddhi sen",2019,113.0,min,3.524703557312253
as186,vikings,"alex høgh, alexander ludwig, jasper pääkkönen",2020,9.0,season,3.5161987041036715
as187,vietnam: secret negotiations that ended the war,,2015,53.0,min,3.5724346076458753
as188,victorian farm: christmas special,stephen noonan,2009,1.0,season,3.5222457627118646
as189,victorian farm,"ruth goodman, alex langlands, peter ginn",2009,1.0,season,3.534516765285996
as190,vicky velingkar,"sonalee kulkarni, spruha joshi, sangram samel, kettan singh, gaurav more, rama joshi, vinita karat, juhi pawar",2019,125.0,min,3.6145631067961164
as191,vets in action,kym marsh,2008,1.0,season,3.5525773195876287
as192,very superstitious with george lopez,"george lopez, harris jacqueline matherne",2018,1.0,season,3.5840248962655603
as193,venky mama,"venkatesh, chaitanya, payal rajput, raashi khanna",2019,141.0,min,3.5289079229122056
as194,vellai pookal,"vivek, charlie, dev, pooja devariya",2019,121.0,min,3.5778947368421052
as195,vella raja (tamil),,2018,1.0,season,3.5329457364341086
as196,vella raja (hindi),,2018,1.0,season,3.556133056133056
as197,vehicle songs by little baby bum,"grace tamayo, erin webbs",2019,48.0,min,3.5178173719376393
as198,vatican miracle examiner,,2017,1.0,season,3.667004048582996
as199,vanity fair,"olivia cooke, claudia jessie, tom bateman, johnny flynn, michael palin",2018,1.0,season,3.5382293762575454
as200,valley uprising,peter sarsgaard,2014,99.0,min,3.5405940594059406
as201,valentine road,dawn boldrin,2013,88.0,min,3.4615384615384617
as202,valentine dayz,"carrie keagan, dallas valdez, robert allen mukes, curt lambert, joseph whittemore",2018,79.0,min,3.5224719101123596
as203,v1 murder case (telugu),"ram arun castro, vishnupriya pillai, gayathri raja, lijeesh, mime gopi",2021,111.0,min,3.6164241164241164
as204,v (tamil),"nani, sudheer babu, nivetha thomas, aditi rao hydari",2020,140.0,min,3.53988326848249
as205,v (malayalam),"nani, sudheer babu, nivetha thomas, aditi rao hydari",2020,140.0,min,3.477799227799228
as206,v (kannada),"nani, sudheer babu, nivetha thomas, aditi rao hydari",2020,140.0,min,3.5549450549450547
as207,utopia,"john cusack, rainn wilson, sasha lane",2020,1.0,season,3.5689277899343543
as208,useless,"brooke wilson, mark bracich, rinnan henderson",2020,90.0,min,3.451345755693582
as209,usaisamonster,,2007,46.0,min,3.5679916317991633
as210,us the duo: christmas live in la  (4k uhd),,2018,51.0,min,3.4925373134328357
as211,us the duo: christmas live in la,,2018,51.0,min,3.5928270042194095
as212,uq holder!,,2017,1.0,season,3.5731441048034935
as213,upload,"robbie amell, andy allo, allegra edwards, zainab johnson, kevin bigley, chloe coleman",2020,1.0,season,3.4493975903614458
as214,up in arms,"danny kaye, dana andrews, dinah shore",1944,106.0,min,3.551063829787234
as215,unity: the latin tribute to michael jackson,"tony succar, titi nieves, michael stuart, jean rodriguez, sheila e",2015,75.0,min,3.5318091451292246
as216,unforgotten,"nicola walker, sanjeev bhaskar, james fleet, alex jennings, kevin mcnally, neil morrissey, peter egan, jordan long, carolina main, lewis reeves",2019,3.0,season,3.45959595959596
as217,undone,"rosa salazar, angelique cabral, constance marie, siddharth dhananjay, daveed diggs, bob odenkirk",2019,1.0,season,3.502132196162047
as218,undocument,,2020,93.0,min,3.601156069364162
as219,underworld scandal,"hillary brooke, stanley clements, philip reed, darryl hickman, carl ""alfalfa"" schweitzer, roland dupree, tommy bond, john phillips, vince barnett, joe allen jr., charles arnt",1948,60.0,min,3.5425764192139737
as220,underwater tunes with little baby bum,"grace tamayo, erin webbs",2019,27.0,min,3.455456570155902
as221,underplayed,"tokimonsta, alison wonderland, nervo, rezz, nightwave, sherelle, tygapaw",2021,90.0,min,3.552350427350427
as222,underdogs,"d. b. sweeney, logan huffman, charlie carver, natalie imbruglia",2013,104.0,min,3.4774859287054407
as223,under western stars,"roy rogers, smiley burnette, carol hughes, maple city four, guy usher, tom chatterton, kenneth harlan, alden 'stephen' chase, brandon beach, earl dwire, jean fowler, dora clement, dick elliott, burr caruth, slim whitaker, jack rockwell, frankie marvin, roy bucko, fred burns, bob card, tommy coats, tex cooper, art dillard, curley dresden, herman hack, henry hall, earle hodgins, jack ingram, art janes, jane keckley, jack kirk, merrill mccormick, fritz meissner, george montgomery, milburn morante, george morrell, jack o'shea, pat petterson, al rice, duke taylor, trigger, bill wolfe",1938,60.0,min,3.591880341880342
as224,under the power,"allen ren, seven tan, han dong",2019,1.0,season,3.4858012170385395
as225,under the boardwalk: the monopoly story,zachary levi,2011,88.0,min,3.54627539503386
as226,under nevada skies,"roy rogers, george ""gabby"" hayes, dale evans, douglas dumbrille, leyland hodgson, tristram coffin, rudolph anders, iron eyes cody, bob noland and the sons of the pioneers",1946,69.0,min,3.4723926380368098
as227,undeniable,"claire goose, peter firth, felix scott, pippa haywood",2014,1.0,season,3.650112866817156
as228,uncle tom,"candace owens, larry elder, chad jackson, brandon tatum, rev. jesse lee peterson",2020,107.0,min,3.4546413502109705
as229,uncle joe shannon,"doug mckeon, burt young",1978,108.0,min,3.5238611713665944
as230,uncle,"nick helm, elliot speller-gillott, daisy haggard, con o'neill, esther smith, daniel lawrence taylor, sydney rae white",2014,2.0,season,3.6132075471698113
as231,uncharted waters with peter miller,peter miller,2020,2.0,season,3.54295154185022
as232,uncaged,"sophie van winden, abbey hoes, mark frost, julian looman",2020,108.0,min,3.5105162523900573
as233,uncabaret,"beth lapides, mitch kaplan",2012,1.0,season,3.588865096359743
as234,ultimate fight,"corin nemec, ernie reyes jr., daniella evangelista",2004,91.0,min,3.601063829787234
as235,ujda chaman (4k uhd),"sunny singh, maanvi gagroo, karishma sharma, saurabh shukla, gagan arora, aishwarya sakhuja",2019,115.0,min,3.510593220338983
as236,ufotv presents: the mystery of the sphinx - new scientific evidence - expanded directors cut,johnanthonywest.dr.robertm.schoch,2016,93.0,min,3.536926147704591
as237,ufotv presents the occult extraterrestrial war - america's secret space fleet,jim nichols,2017,38.0,min,3.5940803382663846
as238,ufotv presents the day before disclosure,"dr edgar mitchell, dr. steven greer, md, richard dolan, robert hastings, stephen bassett, nick pope, jim mars, robert dean, peter robins, wendelle stevens, linda moulton howe, stanton friedman, bud hopkins, dr. david jacobs, bruce maccabee, dr. michael salla, and many more",2017,104.0,min,3.577777777777778
as239,ufotv presence: i know what i saw,peter coyote,2015,92.0,min,3.5562632696390657
as240,ufos - the secret history,"michael d. swords phd., jerome clark, david jacobs ph.d., thomas e. bullard ph.d., budd hopkins, travis walton, maj. robert friend (usaf rtd.), bruce maccabee ph.d., j. gordon melton ph.d., david rudiak",2016,102.0,min,3.490625
